,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,display_size,warranty,msoffice,latest_price
140,HP,15s,Intel,Core i3,11th,4,DDR4,512,0,Windows,32,0,ThinNlight,Missing,1,No,662.87
141,HP,Missing,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,Missing,1,Yes,635.6999999999999
142,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,Missing,1,No,532.87
143,DELL,Vostro,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,Missing,0,No,543.27
144,Lenovo,Ideapad,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,Missing,1,Yes,753.987
145,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,597.0899999999999
146,HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,721.37
147,ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,Casual,14.1,1,No,427.57
148,Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,Yes,467.87
149,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,0,No,552.37
150,DELL,Vostro,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,0,No,548.47
151,DELL,Vostro,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,Yes,513.37
152,HP,15s,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,Yes,567.97
153,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,467.87
154,DELL,3000,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,569.4
155,Lenovo,Missing,Intel,Core i3,10th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,506.87
156,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,454.87
157,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,505.7
158,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,No,519.87
159,DELL,INSPIRON,Intel,Core i3,10th,4,DDR4,0,1024,Windows,32,0,Casual,Missing,0,No,531.5699999999999
160,Lenovo,Missing,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,No,480.87
161,HP,15s,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,Yes,519.87
162,HP,Missing,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,Yes,545.87
163,DELL,Missing,Intel,Core i3,11th,4,DDR4,0,1024,Windows,32,0,Casual,Missing,0,No,571.61
164,HP,Notebook,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,No,517.27
165,ASUS,Missing,Intel,Core i3,10th,4,DDR4,0,1024,Windows,32,0,ThinNlight,Missing,0,No,462.66999999999996
166,HP,14s,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,Yes,474.37
167,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,Yes,506.87
168,ASUS,Missing,Intel,Core i3,10th,4,DDR4,0,1024,Windows,32,0,ThinNlight,Missing,0,No,441.87
169,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,Casual,Missing,1,Yes,564.1999999999999
170,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,324.87
171,HP,15s,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,Yes,529.75
172,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,1,Yes,559.0
173,ASUS,Vivo,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,Casual,Missing,0,No,494.0
174,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14.96,1,Yes,493.87
175,HP,DA,Intel,Core i3,7th,8,DDR4,0,1024,Windows,64,2,Casual,15.6,0,No,640.627
176,Lenovo,Missing,Intel,Core i3,10th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,506.98699999999997
177,ASUS,Missing,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,539.5
178,acer,Missing,Intel,Core i3,11th,4,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,480.98699999999997
179,DELL,Missing,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,557.6999999999999
180,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,279.37
181,DELL,Insprion,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,539.24
182,ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,428.87
183,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,502.84
184,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,311.87
185,DELL,Missing,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14.96,0,No,525.0699999999999
186,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,14.1,0,No,441.87
187,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,266.37
188,DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,Yes,539.37
189,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,591.37
190,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,578.37
191,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14.1,1,Yes,544.5699999999999
192,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,Yes,558.87
193,acer,Travelmate,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14,0,No,532.87
194,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,636.87
195,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,Missing,1,Yes,566.67
196,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,Casual,Missing,1,No,580.97
197,ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,Casual,Missing,0,No,532.87
198,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,Missing,1,Yes,571.87
199,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,Missing,1,Yes,566.67
200,DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,ThinNlight,Missing,1,Yes,538.0699999999999
201,DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,0,ThinNlight,Missing,1,Yes,575.77
202,DELL,Inspiron,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,Casual,Missing,1,No,636.987
203,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,Missing,1,Yes,519.87
204,DELL,Missing,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,0,No,603.0699999999999
205,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,64,0,Casual,Missing,0,No,246.86999999999998
206,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,233.86999999999998
